"","GEOID","NAME","totalpop","white.count","black.count","asian.count","latinx.count","poverty.count","medincome","poverty.pct","white.pct","black.pct","popcat","total.tax","govid","itemcode","amount.thousands","survey.year","year.of.data","origin","description","sales.tax.pct","share.held.by.1pct","state.sales.rate","avg.local.rate","Combined.Rate","max.local.rate","state.region","state.area","presidential_year","abb","population_2020","fips","mrp_ideology_se","mrp_ideology","irt_ideology_unweighted","self_ideology","self_ideology_se","irt_ideology_unweighted_sd","irt_ideology_unweighted_se","sample_size","survey_period","demshare_pres","taxpercap","salestaxpercap"
"40","44","Rhode Island",1057231,761432,60415,35401,163226,125826,67167,11.9014671344295,72.0213463282859,5.71445597036031,1,3612575,"40000000000000","T09",1120139,19,19,24,"Tax - General Sales",31.0066642215041,15.5,7,0,7,0,"Northeast",1214,2016,"RI",1097379,44,0.0428112177121705,-0.157721791235631,-0.135786885756307,2.8252427184466,0.0379107453170813,0.850592699295105,0.0299980915664567,804,"2012-2016",0.583107040926598,3.41701577044184,1.05950260633674
"41","45","South Carolina",5020806,3196421,1333876,78102,285458,741650,53199,14.7715326981365,63.663503429529,26.5669695264067,2,11221043,"41000000000000","T09",3463666,19,19,24,"Tax - General Sales",30.8675940373814,16.6,6,1.43,7.43,3,"South",31055,2016,"SC",5118425,45,0.0382567299614272,0.210942334209478,0.19043679115361,3.31303698169593,0.0203963363980115,0.886406716050052,0.0162568194830214,2973,"2012-2016",0.42539743639476,2.23490869792619,0.689862543981982
"42","46","South Dakota",870638,713546,17191,12511,33024,110553,58275,12.6979295642965,81.9566800438299,1.97452902354365,0,1940415,"42000000000000","T09",1144682,19,19,24,"Tax - General Sales",58.9916074654133,16.8,4.5,1.9,6.4,4.5,"North Central",77047,2016,"SD",886667,46,0.048377796565535,0.288145158989323,0.238059231796936,3.3147792706334,0.047049652943718,1.0171888748236,0.0427934575899665,565,"2012-2016",0.340281419205687,2.22872766867516,1.31476227777791
"43","47","Tennessee",6709356,4951558,1114068,116563,364174,996930,53320,14.8588031399735,73.8007939957278,16.6046935056062,2,16450938,"43000000000000","T09",9469967,19,19,24,"Tax - General Sales",57.5649060254193,17.8,7,2.47,9.47,2.75,"South",42244,2016,"TN",6910840,47,0.0364542468098339,0.240732141402288,0.216795168772125,3.27491506228766,0.0182091437581449,0.932755376093063,0.0149360396325552,3900,"2012-2016",0.36375656954738,2.45193994773865,1.41145692671547
"44","48","Texas",28260856,11856336,3328707,1340554,11116881,4072194,61874,14.4093087626221,41.9532090606173,11.7785073459912,3,63314370,"44000000000000","T09",38123052,19,19,24,"Tax - General Sales",60.2123214682544,19.6,6.25,1.94,8.19,2,"South",267339,2016,"TX",29145505,48,0.0337337470614022,0.134611886097462,0.138940591200539,3.22693364742835,0.00967239528870805,0.96095488169158,0.00815893470034881,13872,"2012-2016",0.45286774422028,2.24035570613997,1.34897017981338
"45","49","Utah",3096848,2425647,34571,71000,434832,298537,71621,9.64002753767702,78.3263175977639,1.11632860250164,1,9918773,"45000000000000","T09",2832742,19,19,24,"Tax - General Sales",28.5593994337808,16.6,5.95,0.99,6.94,2.75,"West",84916,2016,"UT",3271616,49,0.0408026245768429,0.250744895211172,0.228323362598841,3.31820895522388,0.026750197711969,0.952102748477745,0.0225290610340156,1786,"2012-2016",0.376171016545887,3.20286077973475,0.914717803392353
"46","50","Vermont",624313,579340,7901,10393,12038,65652,61973,10.5158790542564,92.7964018048639,1.26555109376226,0,3493747,"46000000000000","T09",412300,19,19,24,"Tax - General Sales",11.801083478569,14.1,6,0.18,6.18,1,"Northeast",9609,2016,"VT",643077,50,0.0484715347335713,-0.162241303604859,-0.214309385582355,2.81263616557734,0.0499233132350712,1.00714597803828,0.0449959639147792,501,"2012-2016",0.651864263238204,5.59614648421545,0.660405918185269
"47","51","Virginia",8454463,5227569,1588726,536076,792001,865691,74222,10.2394557761977,61.8320643191649,18.791566063983,2,27076451,"47000000000000","T09",5457799,19,19,24,"Tax - General Sales",20.1569954644351,15.1,5.3,0.35,5.65,0.7,"South",40815,2016,"VA",8631393,51,0.0350893347033013,0.0592381787895565,0.0260989148078568,3.07740975065128,0.0150196643102733,0.998053374503829,0.0131016949096354,5803,"2012-2016",0.528263762771547,3.2026222126704,0.645552414150964
"48","53","Washington",7404107,5073945,270704,625682,937579,785244,73775,10.6055193421705,68.5287908454051,3.65613300834253,2,27992437,"48000000000000","T09",16647080,19,19,24,"Tax - General Sales",59.4699203931405,19.7,6.5,2.67,9.17,3.9,"West",68192,2016,"WA",7705281,53,0.034872777884875,-0.0503606494998154,-0.077500569540247,2.947265625,0.0162127751268535,1.03350110985088,0.0147044055756291,4940,"2012-2016",0.587869312000648,3.78066348852063,2.24835756695574
"49","54","West Virginia",1817305,1671546,65848,14319,28368,310044,46711,17.0606474972556,91.9793870594094,3.62338737856331,1,5792317,"49000000000000","T09",1368000,19,19,24,"Tax - General Sales",23.6174919293954,13.4,6,0.39,6.39,1,"South",24181,2016,"WV",1793716,54,0.0416185076046362,0.26114689850568,0.221792035345715,3.26426174496644,0.0304315146982628,0.895900506260861,0.0244924215288248,1338,"2012-2016",0.278389477487042,3.18731143093757,0.752763019966379
"50","55","Wisconsin",5790716,4705599,364060,160706,394392,639160,61747,11.037667880794,81.2610910291577,6.28696002359639,2,19871532,"50000000000000","T09",5695550,19,19,24,"Tax - General Sales",28.6618565694885,16,5,0.44,5.44,1.75,"North Central",56154,2016,"WI",5893718,55,0.0368395361764881,0.0790534780241392,0.0264732303613571,3.12606516290727,0.0171842373001141,0.967652983236102,0.014666460140708,4353,"2012-2016",0.495920109619703,3.43161916419317,0.983565762852124
"51","56","Wyoming",581024,488437,5193,4907,57341,62257,64049,10.7150479154045,84.0648579060418,0.893766866773145,0,2110704,"51000000000000","T09",770241,19,19,24,"Tax - General Sales",36.4921372205672,24,4,1.36,5.36,2,"West",97914,2016,"WY",576851,56,0.0511411707264703,0.366740391510651,0.338907775022085,3.46216216216216,0.0571905104382215,1.0462871493492,0.0522490868775173,401,"2012-2016",0.242946803708462,3.63273117805805,1.32566124635127
"52","72","Puerto Rico",3318447,31723,3179,2351,3275919,1449091,20539,43.6677457859053,0.955959218272885,0.0957978234999685,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
