GEOID,NAME,totworkers.all,totworkers.16.19,totworkers.20.24,totworkers.25.44,totworkers.45.54,totworkers.55.59,totworkers.60.64,totworkers.65plus,pubtr.all,pubtr.16.19,pubtr.20.24,pubtr.25.44,pubtr.45.54,pubtr.55.59,pubtr.60.64,pubtr.65plus,county.name
36061006300,"Census Tract 63, New York County, New York",4049,10,564,1858,596,218,185,618,1833,4,155,1014,235,161,107,157,New York
36061006400,"Census Tract 64, New York County, New York",4917,51,372,3006,481,432,58,517,2143,8,177,1427,100,126,22,283,New York
36061006500,"Census Tract 65, New York County, New York",3990,122,426,2422,423,86,88,423,1435,0,197,983,150,13,13,79,New York
36061006600,"Census Tract 66, New York County, New York",6570,151,736,3560,1498,264,143,218,2780,7,412,1795,298,39,42,187,New York
36061006700,"Census Tract 67, New York County, New York",3945,0,218,2856,258,279,49,285,1880,0,109,1540,82,61,30,58,New York
36061006800,"Census Tract 68, New York County, New York",4597,65,613,2790,530,210,115,274,1879,19,191,1278,128,111,22,130,New York
36061006900,"Census Tract 69, New York County, New York",1406,24,112,706,232,53,83,196,613,0,67,336,113,20,20,57,New York
36061007001,"Census Tract 70.01, New York County, New York",1850,0,164,1252,312,0,75,47,706,0,53,390,209,0,54,0,New York
36061007002,"Census Tract 70.02, New York County, New York",2580,0,254,1820,155,203,109,39,694,0,109,434,44,0,89,18,New York
36061007100,"Census Tract 71, New York County, New York",3511,19,173,1940,439,521,182,237,1774,0,152,1059,192,275,41,55,New York
36061007200,"Census Tract 72, New York County, New York",5631,42,687,3870,530,203,150,149,2551,0,574,1456,312,26,124,59,New York
36061007300,"Census Tract 73, New York County, New York",4002,0,194,2468,786,207,167,180,2466,0,105,1467,676,110,50,58,New York
36061007400,"Census Tract 74, New York County, New York",3097,32,281,2160,219,119,106,180,956,0,80,701,41,60,45,29,New York
36061007500,"Census Tract 75, New York County, New York",2111,0,24,907,317,402,211,250,844,0,13,464,102,34,146,85,New York
36061007600,"Census Tract 76, New York County, New York",1485,0,188,916,195,82,33,71,688,0,113,431,76,44,24,0,New York
36061007700,"Census Tract 77, New York County, New York",3794,0,207,2115,649,393,164,266,2445,0,162,1573,351,139,62,158,New York
36061007800,"Census Tract 78, New York County, New York",6411,0,996,4016,821,231,118,229,2005,0,299,1217,254,126,22,87,New York
36061007900,"Census Tract 79, New York County, New York",2345,0,53,1263,460,158,153,258,1064,0,21,727,104,110,36,66,New York
36061008000,"Census Tract 80, New York County, New York",3388,10,420,1771,469,169,99,450,967,0,109,640,50,50,24,94,New York
36061008100,"Census Tract 81, New York County, New York",5287,8,120,2969,724,650,199,617,3021,8,71,1497,335,497,173,440,New York
36061008200,"Census Tract 82, New York County, New York",2240,0,39,1153,649,95,138,166,703,0,11,430,143,56,24,39,New York
36061008300,"Census Tract 83, New York County, New York",2059,0,303,1301,130,216,78,31,1289,0,162,945,13,78,60,31,New York
36061008400,"Census Tract 84, New York County, New York",1016,0,41,787,118,48,13,9,489,0,4,411,46,15,13,0,New York
36061008601,"Census Tract 86.01, New York County, New York",1862,0,242,1108,274,46,78,114,567,0,87,395,46,0,18,21,New York
36061008602,"Census Tract 86.02, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York
36061008603,"Census Tract 86.03, New York County, New York",2796,10,82,905,293,223,209,1074,626,0,33,333,52,16,42,150,New York
36061008700,"Census Tract 87, New York County, New York",4681,0,301,2876,509,458,257,280,2565,0,212,1550,277,309,110,107,New York
36061008800,"Census Tract 88, New York County, New York",5326,62,325,3022,747,375,246,549,1587,0,155,1065,167,49,25,126,New York
36061008900,"Census Tract 89, New York County, New York",3278,23,202,1633,526,508,237,149,1641,17,49,759,319,288,110,99,New York
36061009000,"Census Tract 90, New York County, New York",5168,0,623,2811,865,8,254,607,2052,0,519,1046,263,0,126,98,New York
36061009100,"Census Tract 91, New York County, New York",4379,0,417,2892,610,245,130,85,1865,0,348,1099,234,77,53,54,New York
36061009200,"Census Tract 92, New York County, New York",1074,0,27,734,84,47,95,87,413,0,10,286,30,11,42,34,New York
36061009300,"Census Tract 93, New York County, New York",5430,131,271,1886,1471,725,545,401,2895,76,163,892,662,393,473,236,New York
36061009400,"Census Tract 94, New York County, New York",60,0,7,53,0,0,0,0,7,0,0,7,0,0,0,0,New York
36061009500,"Census Tract 95, New York County, New York",1371,70,92,714,230,165,44,56,534,9,36,327,85,65,12,0,New York
36061009600,"Census Tract 96, New York County, New York",165,0,0,85,25,41,5,9,24,0,0,20,0,0,0,4,New York
36061009700,"Census Tract 97, New York County, New York",2479,0,130,728,733,292,205,391,1128,0,88,434,233,102,75,196,New York
36061009800,"Census Tract 98, New York County, New York",4044,11,312,2133,641,247,390,310,1414,0,146,883,172,47,134,32,New York
36061009901,"Census Tract 99.01, New York County, New York",1397,0,26,964,265,85,57,0,445,0,10,231,139,33,32,0,New York
36061009902,"Census Tract 99.02, New York County, New York",2197,31,135,1697,146,68,99,21,739,31,79,494,58,22,55,0,New York
36061009903,"Census Tract 99.03, New York County, New York",814,0,0,713,71,19,11,0,375,0,0,312,33,19,11,0,New York
36061010000,"Census Tract 100, New York County, New York",1082,0,61,827,68,44,16,66,479,0,53,376,28,0,0,22,New York
36061010100,"Census Tract 101, New York County, New York",1092,0,99,802,83,59,15,34,540,0,67,372,56,35,0,10,New York
36061010200,"Census Tract 102, New York County, New York",122,0,0,16,11,6,2,87,10,0,0,5,5,0,0,0,New York
36061010300,"Census Tract 103, New York County, New York",1782,0,98,1155,361,72,93,3,925,0,78,661,139,39,8,0,New York
36061010400,"Census Tract 104, New York County, New York",581,0,23,316,76,48,39,79,205,0,17,94,47,25,22,0,New York
36061010601,"Census Tract 106.01, New York County, New York",4003,0,152,1564,581,382,334,990,1054,0,142,547,89,122,0,154,New York
36061010602,"Census Tract 106.02, New York County, New York",2855,0,267,1635,400,145,250,158,650,0,96,354,58,44,43,55,New York
36061010801,"Census Tract 108.01, New York County, New York",2107,42,45,1414,174,267,125,40,539,8,16,342,25,0,109,39,New York
36061010802,"Census Tract 108.02, New York County, New York",2645,0,62,1229,170,226,235,723,1396,0,48,963,102,94,139,50,New York
36061010803,"Census Tract 108.03, New York County, New York",1176,0,0,638,245,26,124,143,407,0,0,219,97,0,42,49,New York
36061010900,"Census Tract 109, New York County, New York",127,0,21,76,8,9,10,3,64,0,15,35,0,9,5,0,New York
36061011000,"Census Tract 110, New York County, New York",5039,0,51,3559,718,103,213,395,2380,0,38,1965,143,47,65,122,New York
36061011100,"Census Tract 111, New York County, New York",3295,0,195,2378,383,169,82,88,1450,0,80,964,241,94,55,16,New York
36061011201,"Census Tract 112.01, New York County, New York",544,0,23,234,66,118,29,74,227,0,5,100,30,50,11,31,New York
36061011202,"Census Tract 112.02, New York County, New York",269,0,9,52,32,20,40,116,36,0,9,0,5,0,6,16,New York
36061011203,"Census Tract 112.03, New York County, New York",669,0,35,351,101,67,61,54,164,0,31,103,0,18,7,5,New York
36061011300,"Census Tract 113, New York County, New York",50,0,9,28,9,4,0,0,19,0,6,5,4,4,0,0,New York
36061011401,"Census Tract 114.01, New York County, New York",544,0,6,160,61,97,73,147,79,0,0,23,18,8,5,25,New York
36061011402,"Census Tract 114.02, New York County, New York",1228,0,17,664,147,146,75,179,574,0,9,379,38,47,39,62,New York
36061011500,"Census Tract 115, New York County, New York",2238,55,164,1505,257,145,64,48,1001,14,71,645,109,84,54,24,New York
36061011600,"Census Tract 116, New York County, New York",2247,8,166,1401,431,89,76,76,622,0,82,345,66,54,59,16,New York
36061011700,"Census Tract 117, New York County, New York",3402,0,124,2130,842,135,79,92,1424,0,80,861,281,93,55,54,New York
36061011800,"Census Tract 118, New York County, New York",5347,0,644,2871,668,419,333,412,2783,0,506,1373,334,206,144,220,New York
36061011900,"Census Tract 119, New York County, New York",300,0,0,57,78,22,42,101,174,0,0,48,34,15,42,35,New York
36061012000,"Census Tract 120, New York County, New York",1435,0,15,513,318,113,112,364,457,0,0,223,97,34,12,91,New York
36061012101,"Census Tract 121.01, New York County, New York",1896,0,610,677,353,32,121,103,719,0,263,333,114,9,0,0,New York
36061012102,"Census Tract 121.02, New York County, New York",2259,0,230,1065,471,133,82,278,1487,0,129,696,368,74,54,166,New York
36061012200,"Census Tract 122, New York County, New York",1129,42,11,300,186,163,113,314,293,0,11,189,28,0,49,16,New York
36061012400,"Census Tract 124, New York County, New York",6604,25,372,4232,647,437,140,751,2974,0,85,1979,453,116,96,245,New York
36061012500,"Census Tract 125, New York County, New York",1643,0,176,1046,267,82,17,55,524,0,60,379,46,19,9,11,New York
36061012601,"Census Tract 126.01, New York County, New York",3498,0,135,1684,861,200,199,419,1505,0,0,945,222,148,136,54,New York
36061012602,"Census Tract 126.02, New York County, New York",2669,0,57,1741,299,0,211,361,1286,0,57,836,200,0,145,48,New York
36061012700,"Census Tract 127, New York County, New York",5318,3,543,3005,685,435,367,280,1942,3,164,1238,214,115,68,140,New York
36061012800,"Census Tract 128, New York County, New York",2089,0,74,870,310,217,160,458,703,0,49,296,161,76,44,77,New York
